layer_id,name,type,cin,cout,kernel,conv_stride,conv_padding,pool_kernel,pool_stride,pool_padding,tin,tconv,tout,fin,fout,fw_min,fw_max,rshift_min,rshift_max,weight_offset,weight_size_bytes,bias_offset,bias_size_bytes,shift_offset,shift_size_bytes
0,conv1,conv1d,1,64,3,3,1,0,0,0,320000,106667,106667,15,8,9,13,16,20,0,384,384,512,896,64
1,conv2,conv1d,64,64,3,1,1,3,3,1,106667,106667,35556,8,9,15,19,14,18,960,24576,25536,512,26048,64
2,conv3,conv1d,64,64,3,1,1,3,3,1,35556,35556,11852,9,10,15,19,14,18,26112,24576,50688,512,51200,64
3,conv4,conv1d,64,128,3,1,1,3,3,1,11852,11852,3951,10,9,14,18,15,19,51264,49152,100416,1024,101440,128
4,conv5,conv1d,128,128,3,1,1,3,3,1,3951,3951,1317,9,10,15,19,14,18,101568,98304,199872,1024,200896,128
5,conv6,conv1d,128,128,3,1,1,3,3,1,1317,1317,439,10,10,15,18,15,18,201024,98304,299328,1024,300352,128
6,conv7,conv1d,128,128,3,1,1,3,3,1,439,439,147,10,8,13,18,15,20,300480,98304,398784,1024,399808,128
7,conv8,conv1d,128,128,3,1,1,3,3,1,147,147,49,8,8,15,18,15,18,399936,98304,498240,1024,499264,128
8,conv9,conv1d,128,256,3,1,1,3,3,1,49,49,17,8,13,17,19,12,14,499392,196608,696000,2048,698048,256
9,fc1,fc,256,512,1,0,0,0,0,0,0,0,0,13,11,13,18,15,20,698304,262144,960448,4096,964544,512
10,fc2,fc,512,527,1,0,0,0,0,0,0,0,0,11,10,14,16,15,17,965056,539648,1504704,4216,1508928,527
